,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
445889,23.82,,,52.11,,,1:57.13,,,,,,,,,,,,55.28,,,2:01.80,,,1:11.81,,,,,2:56.52,57.52,,,,,2:43.00,,,2:09.74,,,4:56.52,,,24.03,,,24.80,,,40.21,,,,,,,,,,,,18.01,,,24.13,,,73.04,,,,,65.61,33.88,,,,,88.91,,,38.20,,,68.28,,
404495,24.56,,,53.58,,,2:00.15,,,5:42.84,,,,,11:46.21,,,,1:04.40,,,2:33.36,,,1:06.13,,,2:27.17,,,59.65,,,2:17.72,,,1:07.70,,2:15.92,,,,,6:00.70,35.85,,,35.58,,,51.26,,,86.49,,,,,100.00,,,,86.00,,,100.00,,,35.36,,,46.86,,,49.19,,,68.39,,,98.82,,58.75,,,,,100.00
403163,,,27.94,,,59.88,,,2:08.67,,,4:32.69,,,9:22.73,,,18:54.82,,,1:04.22,,,2:16.20,1:09.73,,,2:13.17,,,,,1:05.42,,,2:23.61,1:09.29,,,,2:23.04,4:23.52,,,,,31.77,,,25.98,,,24.62,,,28.45,,,27.64,,,50.32,,,21.20,,,14.76,58.52,,,9.07,,,,,27.69,,,29.51,100.00,,,,20.83,18.41,,
489820,,,26.46,,,57.17,1:47.67,,,4:53.93,,,,,,,,,,,,2:10.93,,,1:07.11,,,,,2:45.54,,,1:03.14,2:05.51,,,57.15,,2:01.39,,,4:22.15,,,,,12.07,,,9.77,9.13,,,17.89,,,,,,,,,,,,53.94,,,41.42,,,,,36.76,,,14.90,27.70,,,20.00,,13.37,,,16.59,,
419103,,,28.74,53.17,,,,,2:07.76,,,4:30.27,,,9:21.38,,,17:52.77,,,1:05.89,2:01.68,,,1:07.20,,,2:18.86,,,59.16,,,2:08.61,,,1:03.02,,,,2:23.72,,,4:57.97,,,43.33,32.51,,,,,22.01,,,25.09,,,26.73,,,27.14,,,30.82,23.76,,,41.99,,,23.52,,,45.57,,,37.32,,,60.57,,,,22.55,,,14.72
404225,24.41,,,52.86,,,1:51.18,,,4:50.81,,,10:09.07,,,,,,56.01,,,1:59.59,,,1:07.10,,,2:20.94,,,58.02,,,2:05.28,,,59.48,,2:03.28,,,4:21.19,,,33.40,,,30.23,,,20.06,,,14.21,,,18.59,,,,,,22.71,,,17.54,,,41.36,,,29.11,,,37.37,,,27.00,,,35.16,,18.71,,,15.33,,
197153,23.91,,,,,58.89,1:50.75,,,5:08.45,,,,,,,,,54.91,,,2:00.93,,,1:03.46,,,2:17.46,,,55.51,,,,,,1:18.75,,,,2:21.73,,,5:04.04,25.43,,,,,19.89,18.68,,,36.09,,,,,,,,,15.68,,,21.51,,,19.73,,,19.85,,,20.43,,,,,,100.00,,,,17.57,,,21.81
622703,24.22,,,52.90,,,2:02.30,,,,,,,,,,,,58.56,,,,,,1:14.11,,,,,,1:02.13,,,,,,1:04.27,,2:18.15,,,,,,30.33,,,30.52,,,59.47,,,,,,,,,,,,40.10,,,,,,90.10,,,,,,68.46,,,,,,70.25,,66.64,,,,,
367432,23.47,,,51.22,,,1:55.05,,,5:06.88,,,,,,,,,57.92,,,2:04.40,,,1:17.87,,,2:48.69,,,59.79,,,2:25.45,,,,,2:10.51,,,5:03.39,,,18.68,,,18.57,,,32.93,,,34.03,,,,,,,,,35.59,,,32.18,,,100.00,,,100.00,,,50.24,,,98.19,,,,,40.65,,,80.18,,
526467,24.98,,,54.67,,,1:58.93,,,,,,,,,,,,,,,,,,1:07.77,,,2:26.51,,,,,,,,,,,2:14.83,,,5:07.21,,,42.89,,,43.96,,,46.73,,,,,,,,,,,,,,,,,,45.60,,,44.91,,,,,,,,,,,54.98,,,87.03,,
