,Name,School
131017,Aaron Parrott,Louisville
76731,Aaron Parrott,Louisville
85673,Aaron Parrott,Louisville
154390,Aaron Parrott,LSU
130827,Aaron Parrott,Louisville
130857,Aaron Parrott,Louisville
108223,Aaron Parrott,Louisville
146992,Aaron Parrott,LSU
51397,Aaron Parrott,Louisville
22299,Aaron Parrott,Louisville
154804,Aaron Parrott,LSU
11476,Aaron Parrott,Louisville
146940,Aaron Parrott,LSU
61116,Aaron Parrott,Louisville
131588,Aaron Parrott,Louisville
83870,Aaron Parrott,Louisville
131626,Aaron Parrott,Louisville
146449,Aaron Parrott,LSU
7807,Aaron Parrott,Louisville
154852,Aaron Parrott,LSU
123539,Aaron Parrott,Louisville
130481,Aaron Parrott,Louisville
277887,Abbey Webb,NC State
277631,Abbey Webb,NC State
244894,Abbey Webb,NC State
229957,Abbey Webb,Auburn
277428,Abbey Webb,NC State
278079,Abbey Webb,NC State
8880,Abbey Webb,Auburn
245151,Abbey Webb,NC State
245017,Abbey Webb,NC State
245551,Abbey Webb,NC State
245821,Abbey Webb,NC State
39239,Abbey Webb,Auburn
230014,Abbey Webb,Auburn
230090,Abbey Webb,Auburn
58806,Abbey Webb,Auburn
230201,Abbey Webb,Auburn
67305,Abbey Webb,Auburn
20244,Abbey Webb,Auburn
230335,Abbey Webb,Auburn
230387,Abbey Webb,Auburn
230531,Abbey Webb,Auburn
30773,Abbey Webb,Auburn
93356,Abbey Webb,Auburn
277526,Abbey Webb,NC State
352949,Abby Martin,Bridgewater
339858,Abby Martin,Connecticut
352987,Abby Martin,Bridgewater
312735,Abby Martin,Connecticut
328433,Abby Martin,Connecticut
328363,Abby Martin,Connecticut
328335,Abby Martin,Connecticut
328152,Abby Martin,Connecticut
328097,Abby Martin,Connecticut
327993,Abby Martin,Connecticut
327956,Abby Martin,Connecticut
312628,Abby Martin,Connecticut
327925,Abby Martin,Connecticut
327810,Abby Martin,Connecticut
312607,Abby Martin,Connecticut
339911,Abby Martin,Connecticut
327710,Abby Martin,Connecticut
331575,Abby Martin,Bridgewater
327583,Abby Martin,Connecticut
331642,Abby Martin,Bridgewater
331698,Abby Martin,Bridgewater
6001,Abby Martin,Connecticut
17614,Abby Martin,Connecticut
353025,Abby Martin,Bridgewater
312768,Abby Martin,Connecticut
339976,Abby Martin,Connecticut
340027,Abby Martin,Connecticut
342930,Abby Martin,Bridgewater
340070,Abby Martin,Connecticut
340273,Abby Martin,Connecticut
342886,Abby Martin,Bridgewater
340321,Abby Martin,Connecticut
340370,Abby Martin,Connecticut
339797,Abby Martin,Connecticut
339720,Abby Martin,Connecticut
339616,Abby Martin,Connecticut
342979,Abby Martin,Bridgewater
316965,Abby Miller,Hartwick
263760,Abby Miller,Vermont
263786,Abby Miller,Vermont
5149,Abby Miller,Vermont
229604,Abby Miller,Southern Cali
229559,Abby Miller,Southern Cali
43819,Abby Miller,Vermont
27472,Abby Miller,Vermont
317037,Abby Miller,Hartwick
263838,Abby Miller,Vermont
263683,Abby Miller,Vermont
56432,Abby Miller,Vermont
263630,Abby Miller,Vermont
229341,Abby Miller,Southern Cali
263430,Abby Miller,Vermont
117030,Abby Miller,Vermont
94302,Abby Miller,Vermont
74301,Abby Miller,Vermont
82089,Abby Miller,Vermont
121874,Abby Miller,Vermont
282137,Abby Miller,Vermont
282162,Abby Miller,Vermont
282245,Abby Miller,Vermont
263654,Abby Miller,Vermont
48715,Abby Miller,Vermont
322845,Abby Miller,Hartwick
37124,Abby Miller,Vermont
317011,Abby Miller,Hartwick
322824,Abby Miller,Hartwick
322860,Abby Miller,Hartwick
316910,Abby Miller,Hartwick
322868,Abby Miller,Hartwick
98925,Abby Miller,Vermont
322886,Abby Miller,Hartwick
317023,Abby Miller,Hartwick
16630,Abby Miller,Vermont
322944,Abby Miller,Hartwick
317008,Abby Miller,Hartwick
316972,Abby Miller,Hartwick
316975,Abby Miller,Hartwick
322803,Abby Miller,Hartwick
316921,Abby Miller,Hartwick
322958,Abby Miller,Hartwick
322981,Abby Miller,Hartwick
322990,Abby Miller,Hartwick
65427,Abby Miller,Vermont
316957,Abby Miller,Hartwick
316932,Abby Miller,Hartwick
316947,Abby Miller,Hartwick
256878,Abby Turner,Air Force (W)
16423,Abby Turner,Air Force (M)
269145,Abby Turner,Air Force (W)
56182,Abby Turner,Air Force (M)
268732,Abby Turner,Air Force (W)
90038,Abby Turner,Air Force (M)
280634,Abby Turner,Air Force (W)
280691,Abby Turner,Air Force (W)
280960,Abby Turner,Air Force (W)
256653,Abby Turner,Air Force (W)
280573,Abby Turner,Air Force (W)
113124,Abby Turner,Air Force (M)
256750,Abby Turner,Air Force (W)
74074,Abby Turner,Air Force (M)
268650,Abby Turner,Air Force (W)
268576,Abby Turner,Air Force (W)
27253,Abby Turner,Air Force (M)
