,ID,School
249383,116227,Duke
233027,116227,California
56647,148097,Duke
286497,148097,GW
246771,182847,Missouri
232009,182847,Boise St
339506,187922,Johns Hopkins
16,187922,Maine
331252,208252,Westfield State
304115,208252,Bloomsburg
308904,208252,SHIP
317364,208252,Whitman
235606,208252,St. Louis
12900,230397,Bloomsburg
215806,230397,Lynchburg
236738,235449,Providence
40256,235449,SMU
281640,235449,Boston College
157761,242080,California
206763,242080,Cal Lutheran
316475,243699,Bowdoin
332186,243699,Tufts
30625,265582,John Carroll
188926,265582,Widener
180601,265582,St. Cloud St.-M
30584,268568,Drew
311636,268568,Nova S'eastern
267850,268568,Gardner-Webb
69035,271494,Siena
348617,271494,Trinity U.
15066,272493,Buffalo
248789,272493,Florida St
91897,273148,Notre Dame
275150,273148,Arkansas
260697,275642,New Mexico
7331,275642,West Chester
324206,275642,Wash U. MO
188154,276938,Rensselaer
206773,276938,Pomona-Pitzer
137511,281351,Bellarmine
328112,281351,RIT
233664,282470,Alabama
238905,282470,Georgia Tech
200495,282550,Lebanon Valley
30613,282550,Biola University
161626,282550,Wisconsin
198473,283220,Sou. Virginia
190781,283220,Pacific Lutheran
94840,286313,CSU East Bay
269814,286313,Siena
352584,288526,Bridgewater St.
82737,288526,Dartmouth
110053,288560,Rhodes
350657,288560,Carthage
3842,289264,Texas A&M
263356,289264,Tennessee
15072,289954,Ohio
286588,289954,Duquesne
169368,289972,St. Cloud St.-M
8272,289972,St. Cloud St.-W
26181,289978,Missouri St. (M)
244286,289978,Missouri St (W)
300860,290062,Lindenwood
352751,290062,Calvin
114880,290062,Tennessee
257431,292840,Monmouth
118858,292840,St. Michael's
114237,299640,UMBC
356771,299640,Bridgewater
127310,301854,UN Omaha
186284,301854,Oklahoma Christi
191763,302279,USMMA
216473,302279,BSC
278836,302482,Texas
282425,302482,Miami (FL)
192933,304423,UWEC
190714,304423,DePauw
220586,304423,Piedmont
158660,309804,Texas A&M
318094,309804,Hollins
140888,310011,South Dakota
164496,310011,SIUC (M)
212840,310011,Williams
184045,310209,TAMPA
20160,310209,Louisville
40594,310301,South Carolina
179606,310301,TAMPA
295705,310506,Rollins
358141,310506,SUNY Geneseo
50917,318142,IU Indianapolis
163862,318142,Harvard
