Event,Time
50 Freestyle SCY Male,17.63
100 Freestyle SCY Male,39.9
200 Freestyle SCY Male,88.81
500 Freestyle SCY Male,242.31
1000 Freestyle SCY Male,513.93
1650 Freestyle SCY Male,852.08
50 Backstroke SCY Male,20.07
100 Backstroke SCY Male,43.35
200 Backstroke SCY Male,95.37
50 Breaststroke SCY Male,23.15
100 Breaststroke SCY Male,48.71
200 Breaststroke SCY Male,106.35
50 Butterfly SCY Male,19.9
100 Butterfly SCY Male,42.8
200 Butterfly SCY Male,97.35
100 Individual Medley SCY Male,46.63
200 Individual Medley SCY Male,96.34
400 Individual Medley SCY Male,208.82
50 Freestyle SCY Female,20.37
100 Freestyle SCY Female,44.83
200 Freestyle SCY Female,99.1
500 Freestyle SCY Female,264.06
1000 Freestyle SCY Female,546.9
1650 Freestyle SCY Female,903.31
50 Backstroke SCY Female,16.16
100 Backstroke SCY Female,48.1
200 Backstroke SCY Female,106.87
50 Breaststroke SCY Female,26.24
100 Breaststroke SCY Female,55.73
200 Breaststroke SCY Female,121.29
50 Butterfly SCY Female,22.18
100 Butterfly SCY Female,47.35
200 Butterfly SCY Female,109.16
100 Individual Medley SCY Female,50.72
200 Individual Medley SCY Female,108.37
400 Individual Medley SCY Female,234.6
50 Free LCM Male,20.91
100 Free LCM Male,46.4
200 Free LCM Male,102.0
400 Free LCM Male,220.07
800 Free LCM Male,452.12
1500 Free LCM Male,870.67
50 Back LCM Male,23.55
100 Back LCM Male,51.6
200 Back LCM Male,111.92
50 Breast LCM Male,25.95
100 Breast LCM Male,56.88
200 Breast LCM Male,125.48
50 Fly LCM Male,22.27
100 Fly LCM Male,49.45
200 Fly LCM Male,110.34
200 IM LCM Male,114.0
400 IM LCM Male,242.5
50 Free LCM Female,23.61
100 Free LCM Female,51.71
200 Free LCM Female,112.22999999999999
400 Free LCM Female,235.38
800 Free LCM Female,484.79
1500 Free LCM Female,920.48
50 Back LCM Female,26.86
100 Back LCM Female,57.13
200 Back LCM Female,123.14
50 Breast LCM Female,29.16
100 Breast LCM Female,64.13
200 Breast LCM Female,137.55
50 Fly LCM Female,24.43
100 Fly LCM Female,55.18
200 Fly LCM Female,121.81
200 IM LCM Female,126.12
400 IM LCM Female,264.38
50 Free SCM Male,19.9
100 Free SCM Male,44.84
200 Free SCM Male,98.61
400 Free SCM Male,212.25
800 Free SCM Male,440.46
1500 Free SCM Male,846.88
50 Back SCM Male,22.11
100 Back SCM Male,48.33
200 Back SCM Male,105.63
50 Breast SCM Male,24.95
100 Breast SCM Male,55.28
200 Breast SCM Male,120.16
50 Fly SCM Male,21.32
100 Fly SCM Male,47.71
200 Fly SCM Male,106.85
100 IM SCM Male,49.28
200 IM SCM Male,108.88
400 IM SCM Male,234.81
50 Free SCM Female,22.83
100 Free SCM Female,50.25
200 Free SCM Female,110.31
400 Free SCM Female,230.25
800 Free SCM Female,477.42
1500 Free SCM Female,908.24
50 Back SCM Female,25.23
100 Back SCM Female,54.02
200 Back SCM Female,118.03999999999999
50 Breast SCM Female,28.37
100 Breast SCM Female,62.36
200 Breast SCM Female,132.5
50 Fly SCM Female,23.94
100 Fly SCM Female,52.71
200 Fly SCM Female,119.32
100 IM SCM Female,55.11
200 IM SCM Female,121.63
400 IM SCM Female,255.48
