Name,School,Power,Link,Hometown
Tiago ASAKAWA,UMBC,-1,/swimmer/515075,
Niklas Weigelt,UMBC,-1,/swimmer/413265,
Ben Beldner,Binghamton,-1,/swimmer/394588,
Justin Meyn,Binghamton,-1,/swimmer/471360,
Joshua Franco,NJIT,-1,/swimmer/395308,
Gabe Laracuente,UMBC,13.77,/swimmer/404642,"Gaithersburg, MD"
Ryan Board,Binghamton,-1,/swimmer/422211,
Kevin Arpin,Maine,-1,/swimmer/550482,
Liam Blair,Maine,-1,/swimmer/408901,
Ryan Maierle,Binghamton,-1,/swimmer/400018,
Luka Zuric,UMBC,-1,/swimmer/400007,
Matthew Bennici,UMBC,19.03,/swimmer/358936,"Walkersville, MD"
Greg Morris,NJIT,43.61,/swimmer/737231,"Toms River, NJ"
Mitchell Malakhov,NJIT,-1,/swimmer/593504,
Adam Primost,NJIT,-1,/swimmer/1135702,
Michael Dressler,UMBC,-1,/swimmer/471158,
Itay Bachar,NJIT,-1,/swimmer/688404,
Matthew Bevan,NJIT,31.87,/swimmer/898725,RSA
Zach Deal,UMBC,-1,/swimmer/240079,
Alon Lerner,NJIT,100,/swimmer/1218146,"Givatayim, ISR"
Christopher Welsh,UMBC,24.64,/swimmer/511974,"Whitehouse Station, NJ"
David Carrasquillo,NJIT,37.25,/swimmer/691428,"Oviedo, FL"
Diego Morales,UMBC,-1,/swimmer/466130,
Kellen Doyle,Maine,-1,/swimmer/148016,
Conor Hughes,Maine,-1,/swimmer/407007,
Brian Harding,Binghamton,-1,/swimmer/394760,
Evan Bartow,Maine,-1,/swimmer/452363,
Thomas Lafrance,Maine,-1,/swimmer/706760,
Justin Andersen,NJIT,-1,/swimmer/376488,
Matthew Palguta,Binghamton,-1,/swimmer/498065,
Luke Gude,UMBC,-1,/swimmer/605464,
Mac Hoskins,UMBC,17.93,/swimmer/378089,"Columbia, MD"
Samuel Jyawook,UMBC,15.59,/swimmer/400188,"Ann Arbor, MI"
Daniel Jablonski,NJIT,39.58,/swimmer/404031,"Coplay, PA"
Quintin Cheadle,Maine,-1,/swimmer/466109,
Collin Mood,UMBC,-1,/swimmer/389320,
Alex Watson,Maine,-1,/swimmer/187922,
Edward Madrigal,NJIT,-1,/swimmer/552227,
Jake Nelms,NJIT,-1,/swimmer/475008,
Ethan Riser,UMBC,-1,/swimmer/514993,
Tanner Cardin,Maine,32.42,/swimmer/407830,"Bellevue, NE"
Zach Ciriaco,Binghamton,23.78,/swimmer/465573,"Bellmore, NY"
Corby Eldrenkamp,NJIT,-1,/swimmer/594168,
Nate Deguzman,Binghamton,50.92,/swimmer/397638,"Westbury, NY"
Jackson Homan,Binghamton,-1,/swimmer/394761,
Brandon Berger,Binghamton,-1,/swimmer/490832,
Brady Fields,Gardner-Webb,-1,/swimmer/382624,
Rateb Hussein,Fla Atlantic (M),18.23,/swimmer/2061416,"Cairo, EGY"
Seg Bernardina,Gardner-Webb,12.09,/swimmer/365029,"Lake worth, FL"
Kevin Plewniak,Gardner-Webb,-1,/swimmer/423300,
Tim Bennett,Gardner-Webb,14.28,/swimmer/391885,"Indianapolis, IN"
Jonathan Frye,Gardner-Webb,-1,/swimmer/399065,
Aj Profaca,Old Dominion (M),36.52,/swimmer/395468,"Basking Ridge, NJ"
Will O'Connor,Bellarmine,38.4,/swimmer/935857,"Cincinnati, OH"
Brandon Turner,Fla Atlantic (M),25.93,/swimmer/332297,"Berea, KY"
Drew Mintz,Gardner-Webb,20.99,/swimmer/473795,"Fuquay Varina, NC"
Archer Adams,Bellarmine,52.47,/swimmer/585196,"Covington, KY"
Peter Durisin,Old Dominion (M),-1,/swimmer/377291,
Norbert Aranyi,Incarnate Word,-1,/swimmer/960460,
Nathan Keller,Incarnate Word,-1,/swimmer/459741,
Jacob Dray,Bellarmine,-1,/swimmer/469880,
Josh McQueen,Fla Atlantic (M),18.69,/swimmer/310412,"SAINT PETERSBURG, FL"
Grant Meadows,Old Dominion (M),-1,/swimmer/476740,
Leo Viteri,Incarnate Word,34.53,/swimmer/388648,"Klein, TX"
Christian Jann,Gardner-Webb,-1,/swimmer/667411,
Conner Lynn,Bellarmine,-1,/swimmer/585431,
Jack Grotjohn,Old Dominion (M),16.79,/swimmer/422578,"Cary, NC"
Hunter Young,Old Dominion (M),-1,/swimmer/475508,
Ryan Cooper,Virginia MI,30.83,/swimmer/377769,"Roswell, GA"
Cason Forst,Old Dominion (M),-1,/swimmer/438670,
Josh Fountain,Fla Atlantic (M),-1,/swimmer/322110,
Matthew Sims,Bellarmine,-1,/swimmer/332036,
Connor Doyle,Virginia MI,-1,NoMatch,
Zach Bennett,Gardner-Webb,-1,/swimmer/601986,
Nathan Hicks,Virginia MI,-1,/swimmer/484961,
Tachi Williams,Virginia MI,-1,,
Sam Russell,Bellarmine,-1,/swimmer/281351,
Conner Jorgensen,Virginia MI,-1,/swimmer/512064,
Colin Gibbons,Virginia MI,-1,NoMatch,
Sergio Duran Mata,Incarnate Word,-1,/swimmer/452895,
Hugo Eriksson,Old Dominion (M),-1,/swimmer/958132,
Jack Sheehan,Virginia MI,-1,NoMatch,
Danny Sims,Bellarmine,-1,,
Fernando Ruvalcaba Cruz,Incarnate Word,-1,/swimmer/508403,
Jack Shapiro,Fla Atlantic (M),-1,/swimmer/433087,
Andrew Mills,Virginia MI,-1,/swimmer/310449,
Chance Fiallo,Bellarmine,-1,/swimmer/391987,
Alvaro Ibarra Reyes,Incarnate Word,-1,,
Oscar Cardenas Reyes,Incarnate Word,-1,/swimmer/524702,
Jacob Cobb,Old Dominion (M),-1,/swimmer/474849,
Brennan Carroll,Old Dominion (M),-1,/swimmer/616549,
Caleb Wyninger,Old Dominion (M),-1,/swimmer/366948,
Steven Laflamme,Gardner-Webb,-1,/swimmer/354021,
Kyle Douglas,Fla Atlantic (M),-1,NoMatch,
Bryan Dunne,Gardner-Webb,-1,/swimmer/524883,
Cullen Fields,Gardner-Webb,-1,/swimmer/271818,
Garrett Stanley,Fla Atlantic (M),-1,NoMatch,
Ben Stiles,Incarnate Word,-1,,
Kyle Halstead,Incarnate Word,-1,,
Eli Meyer,Incarnate Word,-1,/swimmer/616789,
Ben Redman,Wis.- Green Bay,-1,/swimmer/334837,
Christian Bart,Oakland,-1,/swimmer/400083,
Mack Flowers,Oakland,-1,,
Kevin Burke,IU Indianapolis,-1,/swimmer/457047,
Jeff Wiedoff,Illinois-Chicago,-1,,
Javi Quinones,Oakland,-1,,
Marko Khotynetskyi,Oakland,-1,/swimmer/933315,
Ryan Geheb,Oakland,-1,/swimmer/272943,
Wes Wickens,IU Indianapolis,-1,,
Wilson Cannon,Youngstown St,-1,/swimmer/482566,
John Ruan,Milwaukee,-1,/swimmer/399622,
Jack Krusinski,Cleveland St,-1,/swimmer/546248,
Conrad Farrell,Milwaukee,-1,/swimmer/417180,
Bob Lenart,Cleveland St,-1,,
Cameron Green,IU Indianapolis,-1,NoMatch,
