Name,School,Power,Link,Hometown
Tiago ASAKAWA,UMBC,-1.0,/swimmer/515075,
Niklas Weigelt,UMBC,-1.0,/swimmer/413265,
Ben Beldner,Binghamton,-1.0,/swimmer/394588,
Justin Meyn,Binghamton,-1.0,/swimmer/471360,
Joshua Franco,NJIT,-1.0,/swimmer/395308,
Gabe Laracuente,UMBC,-1.0,,
Ryan Board,Binghamton,-1.0,/swimmer/422211,
Kevin Arpin,Maine,-1.0,/swimmer/550482,
Liam Blair,Maine,-1.0,/swimmer/408901,
Ryan Maierle,Binghamton,-1.0,/swimmer/400018,
Luka Zuric,UMBC,-1.0,/swimmer/400007,
Matthew Bennici,UMBC,-1.0,,
Greg Morris,NJIT,-1.0,,
Mitchell Malakhov,NJIT,-1.0,/swimmer/593504,
Adam Primost,NJIT,-1.0,/swimmer/1135702,
Michael Dressler,UMBC,-1.0,/swimmer/471158,
Itay Bachar,NJIT,-1.0,/swimmer/688404,
Matthew Bevan,NJIT,-1.0,NoMatch,
Zach Deal,UMBC,-1.0,/swimmer/240079,
Alon Lerner,NJIT,-1.0,NoMatch,
Christopher Welsh,UMBC,-1.0,,
David Carrasquillo,NJIT,-1.0,,
Diego Morales,UMBC,-1.0,/swimmer/466130,
Kellen Doyle,Maine,-1.0,/swimmer/148016,
Conor Hughes,Maine,-1.0,/swimmer/407007,
Brian Harding,Binghamton,-1.0,/swimmer/394760,
Evan Bartow,Maine,-1.0,/swimmer/452363,
Thomas Lafrance,Maine,-1.0,/swimmer/706760,
Justin Andersen,NJIT,-1.0,/swimmer/376488,
Matthew Palguta,Binghamton,-1.0,/swimmer/498065,
Luke Gude,UMBC,-1.0,/swimmer/605464,
Mac Hoskins,UMBC,-1.0,,
Samuel Jyawook,UMBC,-1.0,,
Daniel Jablonski,NJIT,-1.0,NoMatch,
Quintin Cheadle,Maine,-1.0,/swimmer/466109,
Collin Mood,UMBC,-1.0,/swimmer/389320,
Alex Watson,Maine,-1.0,/swimmer/187922,
Edward Madrigal,NJIT,-1.0,/swimmer/552227,
Jake Nelms,NJIT,-1.0,/swimmer/475008,
Ethan Riser,UMBC,-1.0,/swimmer/514993,
Tanner Cardin,Maine,-1.0,,
Zach Ciriaco,Binghamton,-1.0,,
Corby Eldrenkamp,NJIT,-1.0,/swimmer/594168,
Nate Deguzman,Binghamton,-1.0,,
Jackson Homan,Binghamton,-1.0,/swimmer/394761,
Brandon Berger,Binghamton,-1.0,/swimmer/490832,
Brady Fields,Gardner-Webb,-1.0,/swimmer/382624,
Rateb Hussein,Florida Atlantic University,-1.0,,
Seg Bernardina,Gardner-Webb,-1.0,,
Kevin Plewniak,Gardner-Webb,-1.0,/swimmer/423300,
Tim Bennett,Gardner-Webb,-1.0,,
Jonathan Frye,Gardner-Webb,-1.0,/swimmer/399065,
Aj Profaca,Old Dominion (M),-1.0,,
Will O'Connor,Bellarmine,-1.0,,
Brandon Turner,Florida Atlantic University,-1.0,NoMatch,
Drew Mintz,Gardner-Webb,-1.0,,
Archer Adams,Bellarmine,-1.0,,
Peter Durisin,Old Dominion (M),-1.0,/swimmer/377291,
Norbert Aranyi,Incarnate Word,-1.0,/swimmer/960460,
Nathan Keller,Incarnate Word,-1.0,/swimmer/459741,
Jacob Dray,Bellarmine,-1.0,/swimmer/469880,
Josh McQueen,Florida Atlantic University,-1.0,,
Grant Meadows,Old Dominion (M),-1.0,/swimmer/476740,
Leo Viteri,Incarnate Word,-1.0,,
Christian Jann,Gardner-Webb,-1.0,/swimmer/667411,
Conner Lynn,Bellarmine,-1.0,/swimmer/585431,
Jack Grotjohn,Old Dominion (M),-1.0,,
Hunter Young,Old Dominion (M),-1.0,/swimmer/475508,
Ryan Cooper,Virginia Military Institute,-1.0,NoMatch,
Cason Forst,Old Dominion (M),-1.0,/swimmer/438670,
Josh Fountain,Florida Atlantic University,-1.0,/swimmer/322110,
Matthew Sims,Bellarmine,-1.0,/swimmer/332036,
Connor Doyle,Virginia Military Institute,-1.0,NoMatch,
Zach Bennett,Gardner-Webb,-1.0,/swimmer/601986,
Nathan Hicks,Virginia Military Institute,-1.0,/swimmer/484961,
Tachi Williams,Virginia Military Institute,-1.0,,
Sam Russell,Bellarmine,-1.0,/swimmer/281351,
Conner Jorgensen,Virginia Military Institute,-1.0,/swimmer/512064,
Colin Gibbons,Virginia Military Institute,-1.0,NoMatch,
Sergio Duran Mata,Incarnate Word,-1.0,/swimmer/452895,
Hugo Eriksson,Old Dominion (M),-1.0,/swimmer/958132,
Jack Sheehan,Virginia Military Institute,-1.0,NoMatch,
Danny Sims,Bellarmine,-1.0,,
Fernando Ruvalcaba Cruz,Incarnate Word,-1.0,/swimmer/508403,
Jack Shapiro,Florida Atlantic University,-1.0,/swimmer/433087,
Andrew Mills,Virginia Military Institute,-1.0,/swimmer/310449,
Chance Fiallo,Bellarmine,-1.0,/swimmer/391987,
Alvaro Ibarra Reyes,Incarnate Word,-1.0,,
Oscar Cardenas Reyes,Incarnate Word,-1.0,/swimmer/524702,
Jacob Cobb,Old Dominion (M),-1.0,/swimmer/474849,
Brennan Carroll,Old Dominion (M),-1.0,/swimmer/616549,
Caleb Wyninger,Old Dominion (M),-1.0,/swimmer/366948,
Steven Laflamme,Gardner-Webb,-1.0,/swimmer/354021,
Kyle Douglas,Florida Atlantic University,-1.0,NoMatch,
Bryan Dunne,Gardner-Webb,-1.0,/swimmer/524883,
Cullen Fields,Gardner-Webb,-1.0,/swimmer/271818,
Garrett Stanley,Florida Atlantic University,-1.0,NoMatch,
Ben Stiles,Incarnate Word,-1.0,,
Kyle Halstead,Incarnate Word,-1.0,,
Eli Meyer,Incarnate Word,-1.0,/swimmer/616789,
Ben Redman,Wis.- Green Bay,-1.0,/swimmer/334837,
Christian Bart,Oakland,-1.0,/swimmer/400083,
Mack Flowers,Oakland,-1.0,,
Kevin Burke,Indiana University-Indianapolis,-1.0,/swimmer/457047,
Jeff Wiedoff,Illinois-Chicago,-1.0,,
Javi Quinones,Oakland,-1.0,,
Marko Khotynetskyi,Oakland,-1.0,/swimmer/933315,
Ryan Geheb,Oakland,-1.0,/swimmer/272943,
Wes Wickens,Indiana University-Indianapolis,-1.0,,
Wilson Cannon,Youngstown St,-1.0,/swimmer/482566,
John Ruan,Milwaukee,-1.0,/swimmer/399622,
Jack Krusinski,Cleveland St,-1.0,/swimmer/546248,
Conrad Farrell,Milwaukee,-1.0,/swimmer/417180,
Bob Lenart,Cleveland St,-1.0,,
Cameron Green,Indiana University-Indianapolis,-1.0,NoMatch,
Didac Silva Alcoba,Wis.- Green Bay,-1.0,/swimmer/1281096,
Sam Smith,Oakland,-1.0,/swimmer/403420,
Andrew Evans,Oakland,-1.0,/swimmer/482597,
Nathen Eberhardt,Cleveland St,-1.0,,
Jeremiah Mansavage,Wis.- Green Bay,-1.0,,
Brandon Cheong,Youngstown St,-1.0,/swimmer/510603,
Jonathan Kollen,Milwaukee,-1.0,/swimmer/461419,
Quinn Yeager,Milwaukee,-1.0,/swimmer/403550,
Josh Dellorto,Illinois-Chicago,-1.0,,
Tim Kubacki,Cleveland St,-1.0,,
Eric Wesolowski,Wis.- Green Bay,-1.0,/swimmer/481856,
Geffen Chang,Oakland,-1.0,/swimmer/652793,
Owen Zant,Illinois-Chicago,-1.0,/swimmer/456994,
Jack Garcia,Milwaukee,-1.0,/swimmer/408657,
Ryan Scherer,Youngstown St,-1.0,/swimmer/482606,
Jackson Shellogg,Youngstown St,-1.0,,
Ben Davis,Oakland,-1.0,NoMatch,
Dominik Niedzialek,Cleveland St,-1.0,/swimmer/615585,
Danylo Hrebelnyi,Oakland,-1.0,,
Kyle Lewarchick,Illinois-Chicago,-1.0,/swimmer/487006,
Jacob Weber,Milwaukee,-1.0,/swimmer/484774,
Carson Niemiec,Milwaukee,-1.0,/swimmer/401131,
Dillon Stangeland,Indiana University-Indianapolis,-1.0,/swimmer/489007,
Philip DeJonge,Oakland,-1.0,/swimmer/400449,
Riley Lohse,Indiana University-Indianapolis,-1.0,/swimmer/403912,
Mason Schoof,Milwaukee,-1.0,/swimmer/506461,
Andrew Bernsdorf,Oakland,-1.0,/swimmer/412568,
Max Boehnlein,Wis.- Green Bay,-1.0,,
Nick Dibley,Indiana University-Indianapolis,-1.0,,
Jordan Sopjes,Wis.- Green Bay,-1.0,/swimmer/460820,
Ben Rojewski,Oakland,-1.0,,
Will Barton,Oakland,-1.0,,
