Name,School,Power,Link,Hometown
Tiago ASAKAWA,UMBC,-1.0,/swimmer/515075,
Niklas Weigelt,UMBC,-1.0,/swimmer/413265,
Ben Beldner,Binghamton,-1.0,/swimmer/394588,
Justin Meyn,Binghamton,-1.0,/swimmer/471360,
Joshua Franco,New Jersey Institute of Technology,-1.0,/swimmer/395308,
Gabe Laracuente,UMBC,13.77,/swimmer/404642,
Ryan Board,Binghamton,-1.0,/swimmer/422211,
Kevin Arpin,Maine,-1.0,/swimmer/550482,
Liam Blair,Maine,-1.0,/swimmer/408901,
Ryan Maierle,Binghamton,-1.0,/swimmer/400018,
Luka Zuric,UMBC,-1.0,/swimmer/400007,
Matthew Bennici,UMBC,-1.0,,
Greg Morris,New Jersey Institute of Technology,-1.0,,
Mitchell Malakhov,New Jersey Institute of Technology,-1.0,/swimmer/593504,
Adam Primost,New Jersey Institute of Technology,-1.0,/swimmer/1135702,
Michael Dressler,UMBC,-1.0,/swimmer/471158,
Itay Bachar,New Jersey Institute of Technology,-1.0,/swimmer/688404,
Matthew Bevan,New Jersey Institute of Technology,31.87,/swimmer/898725,
Zach Deal,UMBC,-1.0,/swimmer/240079,
Alon Lerner,New Jersey Institute of Technology,100.0,/swimmer/1218146,
Christopher Welsh,UMBC,-1.0,,
David Carrasquillo,New Jersey Institute of Technology,37.25,/swimmer/691428,
Diego Morales,UMBC,-1.0,/swimmer/466130,
Kellen Doyle,Maine,-1.0,/swimmer/148016,
Conor Hughes,Maine,-1.0,/swimmer/407007,
Brian Harding,Binghamton,-1.0,/swimmer/394760,
Evan Bartow,Maine,-1.0,/swimmer/452363,
Thomas Lafrance,Maine,-1.0,/swimmer/706760,
Justin Andersen,New Jersey Institute of Technology,-1.0,/swimmer/376488,
Matthew Palguta,Binghamton,-1.0,/swimmer/498065,
Luke Gude,UMBC,-1.0,/swimmer/605464,
Mac Hoskins,UMBC,-1.0,,
Samuel Jyawook,UMBC,-1.0,,
Daniel Jablonski,New Jersey Institute of Technology,33.73,/swimmer/701079,
Quintin Cheadle,Maine,-1.0,/swimmer/466109,
Collin Mood,UMBC,-1.0,/swimmer/389320,
Alex Watson,Maine,-1.0,/swimmer/187922,
Edward Madrigal,New Jersey Institute of Technology,-1.0,/swimmer/552227,
Jake Nelms,New Jersey Institute of Technology,-1.0,/swimmer/475008,
Ethan Riser,UMBC,-1.0,/swimmer/514993,
Tanner Cardin,Maine,32.42,/swimmer/407830,
Zach Ciriaco,Binghamton,-1.0,,
Corby Eldrenkamp,New Jersey Institute of Technology,-1.0,/swimmer/594168,
Nate Deguzman,Binghamton,-1.0,,
Jackson Homan,Binghamton,-1.0,/swimmer/394761,
Brandon Berger,Binghamton,-1.0,/swimmer/490832,
Brady Fields,Gardner-Webb University,-1.0,/swimmer/382624,
Rateb Hussein,Florida Atlantic University,-1.0,,
Seg Bernardina,Gardner-Webb University,12.09,/swimmer/365029,
Kevin Plewniak,Gardner-Webb University,-1.0,/swimmer/423300,
Tim Bennett,Gardner-Webb University,-1.0,,
Jonathan Frye,Gardner-Webb University,-1.0,/swimmer/399065,
Aj Profaca,Old Dominion University,36.52,/swimmer/395468,
Will O'Connor,Bellarmine,-1.0,,
Brandon Turner,Florida Atlantic University,25.93,/swimmer/332297,
Drew Mintz,Gardner-Webb University,-1.0,,
Archer Adams,Bellarmine,-1.0,,
Peter Durisin,Old Dominion University,-1.0,/swimmer/377291,
Norbert Aranyi,Incarnate Word,-1.0,/swimmer/960460,
Nathan Keller,Incarnate Word,-1.0,/swimmer/459741,
Jacob Dray,Bellarmine,-1.0,/swimmer/469880,
Josh McQueen,Florida Atlantic University,-1.0,,
Grant Meadows,Old Dominion University,-1.0,/swimmer/476740,
Leo Viteri,Incarnate Word,34.53,/swimmer/388648,
Christian Jann,Gardner-Webb University,-1.0,/swimmer/667411,
Conner Lynn,Bellarmine,-1.0,/swimmer/585431,
Jack Grotjohn,Old Dominion University,-1.0,,
Hunter Young,Old Dominion University,-1.0,/swimmer/475508,
Ryan Cooper,Virginia Military Institute,30.83,/swimmer/377769,
Cason Forst,Old Dominion University,-1.0,/swimmer/438670,
Josh Fountain,Florida Atlantic University,-1.0,/swimmer/322110,
Matthew Sims,Bellarmine,-1.0,/swimmer/332036,
Connor Doyle,Virginia Military Institute,2.51,/swimmer/361874,
Zach Bennett,Gardner-Webb University,-1.0,/swimmer/601986,
Nathan Hicks,Virginia Military Institute,-1.0,/swimmer/484961,
Tachi Williams,Virginia Military Institute,-1.0,,
Sam Russell,Bellarmine,-1.0,/swimmer/281351,
Conner Jorgensen,Virginia Military Institute,-1.0,/swimmer/512064,
Colin Gibbons,Virginia Military Institute,25.68,/swimmer/394369,
Sergio Duran Mata,Incarnate Word,-1.0,/swimmer/452895,
Hugo Eriksson,Old Dominion University,-1.0,/swimmer/958132,
Jack Sheehan,Virginia Military Institute,-1.0,NoMatch,
Danny Sims,Bellarmine,-1.0,,
Fernando Ruvalcaba Cruz,Incarnate Word,-1.0,/swimmer/508403,
Jack Shapiro,Florida Atlantic University,-1.0,/swimmer/433087,
Andrew Mills,Virginia Military Institute,-1.0,/swimmer/310449,
Chance Fiallo,Bellarmine,-1.0,/swimmer/391987,
Alvaro Ibarra Reyes,Incarnate Word,-1.0,,
Oscar Cardenas Reyes,Incarnate Word,-1.0,/swimmer/524702,
Jacob Cobb,Old Dominion University,-1.0,/swimmer/474849,
Brennan Carroll,Old Dominion University,-1.0,/swimmer/616549,
Caleb Wyninger,Old Dominion University,-1.0,/swimmer/366948,
Steven Laflamme,Gardner-Webb University,-1.0,/swimmer/354021,
Kyle Douglas,Florida Atlantic University,20.16,/swimmer/610433,
Bryan Dunne,Gardner-Webb University,-1.0,/swimmer/524883,
Cullen Fields,Gardner-Webb University,-1.0,/swimmer/271818,
Garrett Stanley,Florida Atlantic University,26.99,/swimmer/435825,
Ben Stiles,Incarnate Word,-1.0,,
Kyle Halstead,Incarnate Word,-1.0,,
Eli Meyer,Incarnate Word,-1.0,/swimmer/616789,
Ben Redman,University of Wisconsin-Green Bay,-1.0,/swimmer/334837,
Christian Bart,Oakland University,-1.0,/swimmer/400083,
Mack Flowers,Oakland University,-1.0,,
Kevin Burke,Indiana University-Indianapolis,-1.0,/swimmer/457047,
Jeff Wiedoff,University of Illinois at Chicago,-1.0,,
Javi Quinones,Oakland University,-1.0,,
Marko Khotynetskyi,Oakland University,-1.0,/swimmer/933315,
Ryan Geheb,Oakland University,-1.0,/swimmer/272943,
Wes Wickens,Indiana University-Indianapolis,-1.0,,
Wilson Cannon,Youngstown St,-1.0,/swimmer/482566,
John Ruan,Milwaukee,-1.0,/swimmer/399622,
Jack Krusinski,Cleveland State University,-1.0,/swimmer/546248,
Conrad Farrell,Milwaukee,-1.0,/swimmer/417180,
Bob Lenart,Cleveland State University,-1.0,,
Cameron Green,Indiana University-Indianapolis,11.56,/swimmer/854571,
Didac Silva Alcoba,University of Wisconsin-Green Bay,-1.0,/swimmer/1281096,
Sam Smith,Oakland University,23.81,/swimmer/403420,
Andrew Evans,Oakland University,-1.0,/swimmer/482597,
Nathen Eberhardt,Cleveland State University,26.56,/swimmer/483758,
Jeremiah Mansavage,University of Wisconsin-Green Bay,36.9,/swimmer/490304,
Brandon Cheong,Youngstown St,-1.0,/swimmer/510603,
Jonathan Kollen,Milwaukee,-1.0,/swimmer/461419,
Quinn Yeager,Milwaukee,-1.0,/swimmer/403550,
Josh Dellorto,University of Illinois at Chicago,15.8,/swimmer/399715,
Tim Kubacki,Cleveland State University,17.57,/swimmer/399309,
Eric Wesolowski,University of Wisconsin-Green Bay,-1.0,/swimmer/481856,
Geffen Chang,Oakland University,-1.0,/swimmer/652793,
Owen Zant,University of Illinois at Chicago,-1.0,/swimmer/456994,
Jack Garcia,Milwaukee,-1.0,/swimmer/408657,
Ryan Scherer,Youngstown St,-1.0,/swimmer/482606,
Jackson Shellogg,Youngstown St,43.43,/swimmer/459062,
Ben Davis,Oakland University,20.7,/swimmer/1681357,
Dominik Niedzialek,Cleveland State University,-1.0,/swimmer/615585,
Danylo Hrebelnyi,Oakland University,-1.0,,
Kyle Lewarchick,University of Illinois at Chicago,-1.0,/swimmer/487006,
Jacob Weber,Milwaukee,-1.0,/swimmer/484774,
Carson Niemiec,Milwaukee,-1.0,/swimmer/401131,
Dillon Stangeland,Indiana University-Indianapolis,-1.0,/swimmer/489007,
Philip DeJonge,Oakland University,-1.0,/swimmer/400449,
