ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
515075,,,23.31,,50.21,,,1:50.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37,,10.6,,,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413265,,,23.60,44.36,,,1:37.44,,,4:31.45,,,10:27.95,,,16:58.09,,,1:01.20,,,2:22.24,,,59.05,,,2:27.11,,,56.22,,,2:14.77,,,1:08.73,,1:51.57,,,5:10.95,,,,,14.66,8.15,,,6.84,,,16.63,,,55.76,,,43.02,,,100.0,,,100.0,,,36.15,,,100.0,,,76.84,,,100.0,,,100.0,,18.97,,,100.0,,
394588,21.22,,,47.00,,,,,,,,,,,,,,,59.72,,,,,,,,,,,,51.41,,,,,,,,2:08.03,,,,,,20.52,,,23.05,,,,,,,,,,,,,,,98.44,,,,,,,,,,,,26.88,,,,,,,,70.8,,,,,
471360,20.87,,,45.40,,,1:42.77,,,4:44.97,,,,,9:07.30,,,,52.91,,,1:55.52,,,56.49,,,2:11.14,,,50.25,,,1:55.10,,,50.81,,1:52.41,,,4:05.67,,,20.8,,,15.86,,,25.18,,,34.78,,,,,55.27,,,,45.21,,,43.33,,,19.32,,,44.72,,,26.56,,,36.33,,,2.45,,21.65,,,27.34,,
395308,21.31,,,45.65,,,1:39.77,,,4:51.93,,,,,,,,,52.42,,,1:52.37,,,,,,,,,52.99,,,2:04.92,,,1:39.44,,1:53.08,,,4:10.84,,,22.05,,,12.83,,,10.18,,,40.57,,,,,,,,,34.53,,,24.82,,,,,,,,,38.84,,,64.55,,,100.0,,17.99,,,28.48,,
404642,21.05,,,45.97,,,1:40.64,,,4:42.59,,,9:49.50,,,,,,53.43,,,2:04.09,,,1:03.84,,,,,2:54.06,49.61,,,,,2:26.68,51.74,,1:53.38,,,4:10.24,,,23.93,,,20.24,,,17.62,,,31.46,,,29.03,,,,,,49.5,,,77.41,,,71.78,,,,,100.0,21.82,,,,,92.41,8.12,,24.8,,,34.53,,
422211,21.70,,,48.02,,,1:45.94,,,4:57.40,,,,,,,,,56.10,,,2:04.90,,,56.22,,,2:05.36,,,52.28,,,2:06.85,,,55.10,,1:56.24,,,4:23.98,,,28.82,,,31.17,,,31.71,,,48.56,,,,,,,,,64.67,,,71.03,,,13.1,,,21.48,,,33.38,,,72.25,,,66.54,,28.08,,,49.58,,
550482,22.25,,,47.06,,,1:45.53,,,7:21.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.17,,,28.93,,,35.46,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408901,,,26.16,,,57.01,1:49.61,,,,,,,,,,,,53.87,,,1:58.82,,,,,,,,,56.58,,,,,,,,2:05.74,,,,,5:08.91,,,55.59,,,52.63,42.11,,,,,,,,,,,,41.74,,,43.49,,,,,,,,,65.1,,,,,,,,59.01,,,,,76.63
400018,,,24.71,46.60,,,1:41.40,,,4:33.39,,,9:37.37,,,16:08.00,,,,,1:04.30,1:57.50,,,1:00.93,,,2:17.97,,,53.40,,,2:09.65,,,1:05.70,,1:57.25,,,,,4:59.49,,,31.46,25.21,,,20.28,,,19.13,,,21.29,,,23.07,,,,,75.69,50.77,,,49.47,,,68.36,,,51.69,,,94.42,,,100.0,,37.92,,,,,56.09
