ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
880302,25.62,,,,,,,,,,,,,,,,,,,,,,,,1:12.90,,,,,,1:01.06,,,,,,,,2:14.13,,,,,,50.82,,,,,,,,,,,,,,,,,,,,,,,,73.8,,,,,,54.78,,,,,,,,47.61,,,,,
1653662,,,26.50,,,56.48,1:48.93,,,4:51.89,,,10:04.29,,,16:51.34,,,54.48,,,1:58.57,,,,,1:14.78,2:25.94,,,,,1:01.07,2:00.80,,,1:01.02,,,,2:17.77,4:25.74,,,,,63.66,,,49.53,45.76,,,41.84,,,39.22,,,37.3,,,53.61,,,49.64,,,,,81.59,93.37,,,,,53.87,53.62,,,100.0,,,,47.32,55.96,,
1653662,,,26.50,,,56.48,1:48.93,,,4:51.89,,,10:04.29,,,16:51.34,,,54.48,,,1:58.57,,,,,1:14.78,2:25.94,,,,,1:01.07,2:00.80,,,1:01.02,,,,2:17.77,4:25.74,,,,,63.66,,,49.53,45.76,,,41.84,,,39.22,,,37.3,,,53.61,,,49.64,,,,,81.59,93.37,,,,,53.87,53.62,,,100.0,,,,47.32,55.96,,
1131128,22.77,,,49.20,,,1:48.10,,,4:52.60,,,,,,,,,57.12,,,,,2:42.23,1:05.83,,,,,,52.79,,,1:55.84,,,1:14.59,,1:58.34,,,4:40.87,,,52.1,,,43.16,,,42.48,,,42.87,,,,,,,,,76.89,,,,,100.0,81.78,,,,,,42.56,,,35.58,,,100.0,,38.46,,,83.96,,
483789,22.71,,,51.62,,,,,2:45.24,,,,,,,,,,,,,,,,1:09.22,,,,,,1:17.73,,,,,,1:01.25,,2:19.57,,,,,,44.43,,,58.95,,,,,100.0,,,,,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,94.93,,100.0,,,,,
403694,,,28.33,52.71,,,1:57.90,,,5:50.72,,,,,12:16.62,,,,59.00,,,2:15.41,,,1:09.35,,,2:31.37,,,58.86,,,2:31.86,,,,,2:14.15,,,5:10.80,,,,,38.45,27.79,,,40.81,,,96.62,,,,,100.0,,,,42.28,,,68.59,,,52.82,,,56.92,,,41.76,,,100.0,,,,,49.21,,,92.38,,
403694,,,28.33,52.71,,,1:57.90,,,5:50.72,,,,,12:16.62,,,,59.00,,,2:15.41,,,1:09.35,,,2:31.37,,,58.86,,,2:31.86,,,,,2:14.15,,,5:10.80,,,,,38.45,27.79,,,40.81,,,96.62,,,,,100.0,,,,42.28,,,68.59,,,52.82,,,56.92,,,41.76,,,100.0,,,,,49.21,,,92.38,,
367484,,,29.86,59.89,,,,,2:25.51,,,,,,,,,,57.58,,,,,2:26.01,1:12.69,,,,,3:16.47,59.23,,,,,,,,2:15.87,,,5:11.51,,,,,61.94,86.98,,,,,78.23,,,,,,,,,,32.33,,,,,46.21,75.83,,,,,100.0,44.43,,,,,,,,54.99,,,93.7,,
423467,,,,,,,,2:04.95,,,,4:14.56,,,8:35.10,,,16:34.50,,,,,,,,,,,,,,,,,,,,,,,,,4:49.79,,,,,,,,,24.79,,,,9.63,,,11.85,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,16.61,
289498,23.73,,,49.87,,,1:51.65,,,,,,,,,,,,,,1:12.92,,,,1:00.80,,,2:13.53,,,54.94,,,,,2:16.79,,,2:01.67,,,,,,20.05,,,7.33,,,18.19,,,,,,,,,,,,,,92.7,,,,1.25,,,6.28,,,13.02,,,,,18.45,,,10.43,,,,,
289498,23.73,,,49.87,,,1:51.65,,,,,,,,,,,,,,1:12.92,,,,1:00.80,,,2:13.53,,,54.94,,,,,2:16.79,,,2:01.67,,,,,,20.05,,,7.33,,,18.19,,,,,,,,,,,,,,92.7,,,,1.25,,,6.28,,,13.02,,,,,18.45,,,10.43,,,,,
336721,25.73,,,55.86,,,,,2:42.56,,,,,,,,,,,,,,,2:58.17,,,,,,3:55.54,,,1:29.87,,,3:41.63,,,,,3:00.14,,,,52.76,,,50.43,,,,,100.0,,,,,,,,,,,,,,,100.0,,,,,,100.0,,,100.0,,,100.0,,,,,100.0,,,
853671,26.25,,,56.08,,,2:04.43,,,5:32.68,,,,,,,,,1:02.42,,,2:18.35,,,,,,,,,,,,,,,,,2:25.34,,,,,,65.65,,,55.31,,,67.9,,,70.49,,,,,,,,,69.46,,,81.44,,,,,,,,,,,,,,,,,93.87,,,,,
1444670,26.09,,,56.45,,,2:08.19,,,5:55.96,,,12:56.75,,,,,,1:05.39,,,2:23.65,,,1:13.60,,,2:55.48,,,1:08.72,,,,,,1:15.70,,2:26.07,,,,,,62.66,,,58.38,,,83.49,,,100.0,,,100.0,,,,,,94.66,,,100.0,,,86.23,,,100.0,,,100.0,,,,,,100.0,,96.79,,,,,
524819,27.29,,,58.88,,,2:04.42,,,5:29.79,,,,,,,,,1:09.44,,,2:29.53,,,1:27.37,,,,,,,,,,,,,,,,3:00.91,,,,86.01,,,79.6,,,67.86,,,66.11,,,,,,,,,100.0,,,100.0,,,100.0,,,,,,,,,,,,,,,,100.0,,,
674090,24.08,,,52.90,,,1:58.30,,,5:22.86,,,,,,,,,59.39,,,2:11.29,,,,,,,,3:41.82,1:04.49,,,,,,1:12.74,,,,2:46.24,,,,28.1,,,30.52,,,44.43,,,55.92,,,,,,,,,46.1,,,55.21,,,,,,,,100.0,88.27,,,,,,100.0,,,,89.1,,,
575863,,,,,,,2:10.66,,,5:46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.24,,,90.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748354,25.58,,,57.62,,,2:10.38,,,5:59.78,,,,,,,,,1:02.00,,,2:15.02,,,1:15.08,,,2:46.76,,,1:11.39,,,,,,1:07.24,,2:25.90,,,,,,53.36,,,68.37,,,93.0,,,100.0,,,,,,,,,66.08,,,68.73,,,97.63,,,100.0,,,100.0,,,,,,94.82,,96.11,,,,,
