Name,School,Power,Link,Hometown
Tiago ASAKAWA,UMBC,15.96,/swimmer/515075,"Sao Paulo, BRA"
Niklas Weigelt,UMBC,8.38,/swimmer/413265,"Clayton, CA"
Ben Beldner,Binghamton,22.71,/swimmer/394588,"Pittsford, NY"
Justin Meyn,Binghamton,10.06,/swimmer/471360,"Brightwaters, NY"
Joshua Franco,NJIT,12.4,/swimmer/395308,"hillsborough, NJ"
Gabe Laracuente,UMBC,-1.0,,
Ryan Board,Binghamton,18.21,/swimmer/422211,"Burnt Hills, NY"
Kevin Arpin,Maine,33.13,/swimmer/550482,"Worcester, MA"
Liam Blair,Maine,42.86,/swimmer/408901,"Hilton Head Island, SC"
Ryan Maierle,Binghamton,20.61,/swimmer/400018,"Eastchester, NY"
Luka Zuric,UMBC,16.29,/swimmer/400007,"Setauket, NY"
Matthew Bennici,UMBC,-1.0,,
Greg Morris,NJIT,-1.0,,
Mitchell Malakhov,NJIT,36.41,/swimmer/593504,"Manalapan, NJ"
Adam Primost,NJIT,44.47,/swimmer/1135702,"Bayville, NJ"
Michael Dressler,UMBC,26.76,/swimmer/471158,"Brunswick, MD"
Itay Bachar,NJIT,77.97,/swimmer/688404,"Tenafly, NJ"
Matthew Bevan,NJIT,-1.0,,
Zach Deal,UMBC,100.0,/swimmer/240079,"Atherton, CA"
Alon Lerner,NJIT,-1.0,,
Christopher Welsh,UMBC,-1.0,,
David Carrasquillo,NJIT,-1.0,,
Diego Morales,UMBC,32.99,/swimmer/466130,"North Potomac, MD"
Kellen Doyle,Maine,56.8,/swimmer/148016,"Orono, ME"
Conor Hughes,Maine,36.1,/swimmer/407007,"Scituate, MA"
Brian Harding,Binghamton,28.99,/swimmer/394760,"Clifton Park, NY"
Evan Bartow,Maine,30.49,/swimmer/452363,"Fenton, MI"
Thomas Lafrance,Maine,23.71,/swimmer/706760,"Lancaster, MA"
Justin Andersen,NJIT,31.48,/swimmer/376488,"Cherry hill, NJ"
Matthew Palguta,Binghamton,20.3,/swimmer/498065,"Carlsbad, CA"
Luke Gude,UMBC,41.08,/swimmer/605464,"Eldersburg, MD"
Mac Hoskins,UMBC,-1.0,,
Samuel Jyawook,UMBC,-1.0,,
Daniel Jablonski,NJIT,-1.0,,
Quintin Cheadle,Maine,31.74,/swimmer/466109,"OLNEY, MD"
Collin Mood,UMBC,32.53,/swimmer/389320,"Frederick, MD"
Alex Watson,Maine,100.0,/swimmer/187922,"Hardin, MT"
Edward Madrigal,NJIT,35.15,/swimmer/552227,"BELLEVILLE, NJ"
Jake Nelms,NJIT,28.44,/swimmer/475008,"Helotes, TX"
Ethan Riser,UMBC,20.59,/swimmer/514993,"Austin, TX"
Tanner Cardin,Maine,-1.0,,
Zach Ciriaco,Binghamton,-1.0,,
Corby Eldrenkamp,NJIT,40.2,/swimmer/594168,"Old Bridge, NJ"
Nate Deguzman,Binghamton,-1.0,,
Jackson Homan,Binghamton,24.74,/swimmer/394761,"Clifton Park, NY"
Brandon Berger,Binghamton,38.19,/swimmer/490832,"Weston, CT"
Brady Fields,Gardner-Webb,13.06,/swimmer/382624,"Marietta, GA"
Rateb Hussein,Fla Atlantic (M),-1.0,,
Seg Bernardina,Gardner-Webb,-1.0,,
Kevin Plewniak,Gardner-Webb,11.36,/swimmer/423300,"Apex, NC"
Tim Bennett,Gardner-Webb,-1.0,,
Jonathan Frye,Gardner-Webb,22.06,/swimmer/399065,"Columbia, SC"
Aj Profaca,Old Dominion (M),-1.0,,
Will O'Connor,Bellarmine,-1.0,,
Brandon Turner,Fla Atlantic (M),-1.0,,
Drew Mintz,Gardner-Webb,-1.0,,
Archer Adams,Bellarmine,-1.0,,
Peter Durisin,Old Dominion (M),100.0,/swimmer/377291,"Bratislava, SVK"
Norbert Aranyi,Incarnate Word,100.0,/swimmer/960460,"Bekescsaba, HUN"
Nathan Keller,Incarnate Word,27.32,/swimmer/459741,"Midland, TX"
Jacob Dray,Bellarmine,24.53,/swimmer/469880,"Louisville, KY"
Josh McQueen,Fla Atlantic (M),-1.0,,
Grant Meadows,Old Dominion (M),31.77,/swimmer/476740,"Swansboro, NC"
Leo Viteri,Incarnate Word,-1.0,,
Christian Jann,Gardner-Webb,15.31,/swimmer/667411,"Greenville, SC"
Conner Lynn,Bellarmine,57.27,/swimmer/585431,"LOUISVILLE, KY"
Jack Grotjohn,Old Dominion (M),-1.0,,
Hunter Young,Old Dominion (M),18.04,/swimmer/475508,"Wake Forest, NC"
Ryan Cooper,Virginia MI,-1.0,,
Cason Forst,Old Dominion (M),42.15,/swimmer/438670,"Cantonment, FL"
Josh Fountain,Fla Atlantic (M),14.38,/swimmer/322110,"Lilburn, GA"
Matthew Sims,Bellarmine,11.31,/swimmer/332036,"Fort Wright, KY"
Connor Doyle,Virginia MI,-1.0,,
Zach Bennett,Gardner-Webb,100.0,/swimmer/601986,"Rockford, IL"
Nathan Hicks,Virginia MI,28.22,/swimmer/484961,"Muncie, IN"
Tachi Williams,Virginia MI,-1.0,,
Sam Russell,Bellarmine,97.95,/swimmer/281351,"Brookline, MA"
Conner Jorgensen,Virginia MI,26.29,/swimmer/512064,"Glen Allen, VA"
Colin Gibbons,Virginia MI,-1.0,,
Sergio Duran Mata,Incarnate Word,13.47,/swimmer/452895,"Tijuana, MEX"
Hugo Eriksson,Old Dominion (M),44.31,/swimmer/958132,SWE
Jack Sheehan,Virginia MI,-1.0,,
Danny Sims,Bellarmine,-1.0,,
Fernando Ruvalcaba Cruz,Incarnate Word,22.59,/swimmer/508403,"TIJUANA, MEX"
Jack Shapiro,Fla Atlantic (M),13.05,/swimmer/433087,"Tampa, FL"
Andrew Mills,Virginia MI,32.15,/swimmer/310449,"Cape Coral, FL"
Chance Fiallo,Bellarmine,100.0,/swimmer/391987,"Petersburg, IN"
Alvaro Ibarra Reyes,Incarnate Word,-1.0,,
Oscar Cardenas Reyes,Incarnate Word,10.39,/swimmer/524702,"TLAJOMULCO DE ZUNIGA, FL"
Jacob Cobb,Old Dominion (M),26.61,/swimmer/474849,"Brentwood, TN"
Brennan Carroll,Old Dominion (M),27.89,/swimmer/616549,"Northford, CT"
Caleb Wyninger,Old Dominion (M),27.09,/swimmer/366948,"Lake Charles, LA"
Steven Laflamme,Gardner-Webb,35.77,/swimmer/354021,"Austin, TX"
Kyle Douglas,Fla Atlantic (M),-1.0,,
Bryan Dunne,Gardner-Webb,40.87,/swimmer/524883,"Savannah, GA"
Cullen Fields,Gardner-Webb,15.65,/swimmer/271818,"Marietta, GA"
Garrett Stanley,Fla Atlantic (M),-1.0,,
Ben Stiles,Incarnate Word,-1.0,,
Kyle Halstead,Incarnate Word,-1.0,,
Eli Meyer,Incarnate Word,27.65,/swimmer/616789,"Corrales, NM"
Ben Redman,Wis.- Green Bay,13.06,/swimmer/334837,"Eau Claire, WI"
Christian Bart,Oakland,7.63,/swimmer/400083,"Grand Rapids, MI"
Mack Flowers,Oakland,-1.0,,
Kevin Burke,IU Indianapolis,19.22,/swimmer/457047,"Bettendorf, IA"
Jeff Wiedoff,Illinois-Chicago,-1.0,,
Javi Quinones,Oakland,-1.0,,
Marko Khotynetskyi,Oakland,10.67,/swimmer/933315,"Kyiv, UKR"
Ryan Geheb,Oakland,3.54,/swimmer/272943,"Hartland, MI"
Wes Wickens,IU Indianapolis,-1.0,,
Wilson Cannon,Youngstown St,28.58,/swimmer/482566,"Mansfield, OH"
John Ruan,Milwaukee,25.38,/swimmer/399622,"Bolingbrook, IL"
Jack Krusinski,Cleveland St,18.57,/swimmer/546248,"Brecksville , OH"
Conrad Farrell,Milwaukee,17.44,/swimmer/417180,"Waukesha, WI"
Bob Lenart,Cleveland St,-1.0,,
Cameron Green,IU Indianapolis,-1.0,,
Didac Silva Alcoba,Wis.- Green Bay,100.0,/swimmer/1281096,"Amposta, ESP"
Sam Smith,Oakland,23.81,/swimmer/403420,"Holland, MI"
Andrew Evans,Oakland,20.07,/swimmer/482597,"Fremont, OH"
Nathen Eberhardt,Cleveland St,-1.0,,
Jeremiah Mansavage,Wis.- Green Bay,-1.0,,
Brandon Cheong,Youngstown St,32.94,/swimmer/510603,"Noord, ABW"
Jonathan Kollen,Milwaukee,18.66,/swimmer/461419,"Zeeland, MI"
Quinn Yeager,Milwaukee,22.56,/swimmer/403550,"Minnetonka, MN"
Josh Dellorto,Illinois-Chicago,-1.0,,
Tim Kubacki,Cleveland St,-1.0,,
Eric Wesolowski,Wis.- Green Bay,45.24,/swimmer/481856,"Grand Rapids, MI"
Geffen Chang,Oakland,25.31,/swimmer/652793,"San Jose, CA"
Owen Zant,Illinois-Chicago,33.15,/swimmer/456994,"Aurora, IL"
Jack Garcia,Milwaukee,28.74,/swimmer/408657,"Hazelhurst, WI"
Ryan Scherer,Youngstown St,42.92,/swimmer/482606,"Wauseon, OH"
Jackson Shellogg,Youngstown St,-1.0,,
Ben Davis,Oakland,-1.0,,
Dominik Niedzialek,Cleveland St,100.0,/swimmer/615585,"Lublin, POL"
Danylo Hrebelnyi,Oakland,-1.0,,
Kyle Lewarchick,Illinois-Chicago,19.89,/swimmer/487006,"St. Charles, IL"
Jacob Weber,Milwaukee,40.0,/swimmer/484774,"St Leon, IN"
Carson Niemiec,Milwaukee,32.61,/swimmer/401131,"Oconomowoc, WI"
Dillon Stangeland,IU Indianapolis,27.43,/swimmer/489007,"West Fargo, ND"
Philip DeJonge,Oakland,24.85,/swimmer/400449,"Zeeland, MI"
Riley Lohse,IU Indianapolis,21.52,/swimmer/403912,"Sycamore, IL"
Mason Schoof,Milwaukee,15.67,/swimmer/506461,"Muskego, WI"
Andrew Bernsdorf,Oakland,7.8,/swimmer/412568,"Westerville, OH"
Max Boehnlein,Wis.- Green Bay,-1.0,,
Nick Dibley,IU Indianapolis,-1.0,,
Jordan Sopjes,Wis.- Green Bay,26.19,/swimmer/460820,"Dorr, MI"
Ben Rojewski,Oakland,-1.0,,
Will Barton,Oakland,-1.0,,
Ryan Ramminger,Wis.- Green Bay,21.43,/swimmer/334834,"Lodi, WI"
Dan Galante,IU Indianapolis,-1.0,,
Ian Allen,Oakland,18.07,/swimmer/463176,"Commerce Township, MI"
Ben Gabbey,Illinois-Chicago,-1.0,,
Daniel Jablonski,Milwaukee,33.73,/swimmer/701079,"Green Bay, WI"
Umitcan Gures,Harvard,-1.0,,
Joe Page,Yale,100.0,/swimmer/1065646,"Athens, IL"
Ryan Linnihan,Harvard,10.8,/swimmer/401079,"Brookfield, WI"
Matthew Dieffenthaller,Penn,15.75,/swimmer/375776,"Tampa, FL"
Max Walther,Princeton,-1.0,,
Connor Lee,Yale,5.53,/swimmer/377226,"South Pasadena, CA"
Nicholas Lim,Princeton,7.29,/swimmer/544617,"Hong Kong, NJ"
Nathan Stern,Yale,8.77,/swimmer/433464,"Hightstown, NJ"
Thomas Shepanzyk,Columbia,16.61,/swimmer/478412,"Berkeley Heights, NJ"
