Event,Time,gender
50 FR SCY,20.37,W
100 FR SCY,44.83,W
200 FR SCY,1:39.10,W
500 FR SCY,4:24.06,W
1000 FR SCY,9:06.90,W
1650 FR SCY,15:03.31,W
100 BK SCY,48.10,W
200 BK SCY,1:46.87,W
100 BR SCY,55.73,W
200 BR SCY,2:01.29,W
100 FL SCY,47.35,W
200 FL SCY,1:49.16,W
200 IM SCY,1:48.37,W
400 IM SCY,3:54.60,W
50 FR SCY,17.63,M
100 FR SCY,39.90,M
200 FR SCY,1:28.81,M
500 FR SCY,4:02.31,M
1000 FR SCY,8:33.93,M
1650 FR SCY,14:12.08,M
100 BK SCY,43.35,M
200 BK SCY,1:35.37,M
100 BR SCY,49.53,M
200 BR SCY,1:46.35,M
100 FL SCY,42.80,M
200 FL SCY,1:37.35,M
200 IM SCY,1:36.34,M
400 IM SCY,3:28.82,M
50 FR LCM,23.61,W
100 FR LCM,51.71,W
200 FR LCM,1:52.23,W
400 FR LCM,3:55.38,W
800 FR LCM,8:04.79,W
1500 FR LCM,15:20.48,W
50 BK LCM,26.86,W
100 BK LCM,57.13,W
200 BK LCM,2:03.14,W
50 BR LCM,29.16,W
100 BR LCM,1:04.13,W
200 BR LCM,2:17.55,W
50 FL LCM,24.43,W
100 FL LCM,55.18,W
200 FL LCM,2:01.81,W
200 IM LCM,2:06.12,W
400 IM LCM,4:24.38,W
50 FR LCM,20.91,M
100 FR LCM,46.40,M
200 FR LCM,1:42.00,M
400 FR LCM,3:40.07,M
800 FR LCM,7:32.12,M
1500 FR LCM,14:30.67,M
50 BK LCM,23.55,M
100 BK LCM,51.60,M
200 BK LCM,1:51.92,M
50 BR LCM,25.95,M
100 BR LCM,56.88,M
200 BR LCM,2:05.48,M
50 FL LCM,22.27,M
100 FL LCM,49.45,M
200 FL LCM,1:50.34,M
200 IM LCM,1:54.00,M
400 IM LCM,4:02.50,M
50 FR SCM,22.83,W
100 FR SCM,50.25,W
200 FR SCM,1:50.31,W
400 FR SCM,3:50.25,W
800 FR SCM,7:57.42,W
1500 FR SCM,15:08.24,W
50 BK SCM,25.23,W
100 BK SCM,54.02,W
200 BK SCM,1:58.04,W
50 BR SCM,28.37,W
100 BR SCM,1:02.36,W
200 BR SCM,2:12.50,W
50 FL SCM,23.94,W
100 FL SCM,52.71,W
200 FL SCM,1:59.32,W
100 IM SCM,55.11,W
200 IM SCM,2:01.63,W
400 IM SCM,4:15.48,W
50 FR SCM,19.90,M
100 FR SCM,44.84,M
200 FR SCM,1:38.61,M
400 FR SCM,3:32.25,M
800 FR SCM,7:20.46,M
1500 FR SCM,14:06.88,M
50 BK SCM,22.11,M
100 BK SCM,48.33,M
200 BK SCM,1:45.63,M
50 BR SCM,24.95,M
100 BR SCM,55.28,M
200 BR SCM,2:00.16,M
50 FL SCM,21.32,M
100 FL SCM,47.71,M
200 FL SCM,1:46.85,M
100 IM SCM,49.28,M
200 IM SCM,1:48.88,M
400 IM SCM,3:54.81,M
